Fitness Progress Results
Population Size: 10
Steps: 500

Generation  Best        Average     Worst       StdDev      
466         10.53       8.32        5.73        1.04        
467         10.53       8.32        5.73        1.03        
468         10.53       8.32        5.73        1.04        
469         10.53       8.32        5.73        1.03        
470         10.53       8.31        5.73        1.04        
471         10.53       8.31        5.73        1.03        
472         10.53       8.31        5.73        1.04        
473         10.53       8.31        5.73        1.03        
474         10.53       8.31        5.73        1.03        
475         10.53       8.31        5.73        1.03        
476         10.53       8.31        5.73        1.03        
477         10.53       8.31        5.73        1.03        
478         10.53       8.31        5.73        1.03        
479         10.53       8.30        5.73        1.03        
480         10.53       8.30        5.73        1.03        
481         10.53       8.30        5.73        1.03        
482         10.53       8.30        5.73        1.03        
483         10.53       8.30        5.73        1.03        
484         10.53       8.30        5.73        1.03        
485         10.53       8.30        5.73        1.03        
486         10.53       8.30        5.73        1.03        
487         10.53       8.30        5.73        1.03        
488         10.53       8.30        5.73        1.03        
489         10.53       8.30        5.73        1.02        
490         10.53       8.30        5.73        1.02        
491         10.53       8.30        5.73        1.02        
492         10.53       8.30        5.73        1.02        
493         10.53       8.30        5.73        1.02        
494         10.53       8.30        5.73        1.02        
495         10.53       8.29        5.73        1.02        
496         10.53       8.29        5.73        1.02        
497         10.53       8.29        5.73        1.02        
498         10.53       8.29        5.73        1.02        
499         10.53       8.29        5.73        1.02        
