Fitness Progress Results
Population Size: 10
Steps: 500

Generation  Best        Average     Worst       StdDev      
472         10.85       8.74        4.73        1.08        
473         10.85       8.74        4.73        1.08        
474         10.85       8.74        4.73        1.08        
475         10.85       8.74        4.73        1.08        
476         10.85       8.73        4.73        1.08        
477         10.85       8.73        4.73        1.08        
478         10.85       8.73        4.73        1.08        
479         10.85       8.73        4.73        1.08        
480         10.85       8.73        4.73        1.08        
481         10.85       8.73        4.73        1.08        
482         10.85       8.73        4.73        1.08        
483         10.85       8.73        4.73        1.08        
484         10.85       8.72        4.73        1.08        
485         10.85       8.72        4.73        1.08        
486         10.85       8.72        4.73        1.08        
487         10.85       8.72        4.73        1.08        
488         10.85       8.72        4.73        1.08        
489         10.85       8.72        4.73        1.08        
490         10.85       8.72        4.73        1.08        
491         10.85       8.72        4.73        1.08        
492         10.85       8.71        4.73        1.08        
493         10.85       8.71        4.73        1.08        
494         10.85       8.71        4.73        1.08        
495         10.85       8.71        4.73        1.08        
496         10.85       8.71        4.73        1.08        
497         10.85       8.71        4.73        1.08        
498         10.85       8.70        4.73        1.08        
499         10.85       8.70        4.73        1.08        
